,Country Code,Covid Confirmed,Covid Deaths,Covid Recovered,Covid first Date,Flu/Pneumonia Death Rate Per 100000
0,1,1012582,58355,115936,2020-01-22 12:00:00,14.91
1,2,83940,4637,78422,2020-01-22 12:00:00,14.69
2,3,13736,394,1899,2020-01-22 12:00:00,34.54
3,4,159912,6314,117400,2020-01-27 20:30:00,10.86
4,5,31324,1008,7747,2020-01-30 21:30:00,64.03
5,6,162350,21745,813,2020-03-11 22:00:00,23.01
6,7,169053,23694,47775,2020-01-24 12:00:00,14.1
7,8,201505,27359,68941,2020-01-30 21:30:00,8.15
8,9,73235,5083,32544,2020-01-23 12:00:00,42.96
9,10,51150,2983,19231,2020-01-26 23:00:00,9.34
10,11,232128,23822,123903,2020-01-31 19:00:00,10.21
11,12,6744,89,5665,2020-01-23 12:00:00,9.68
12,13,16752,1569,11423,2020-01-23 12:00:00,19.52
13,14,9511,773,1254,2020-03-02 22:00:00,26.72
14,15,38612,4582,117,2020-02-27 22:00:00,14.56
15,16,20077,152,2784,2020-03-02 22:00:00,49.64
16,17,114653,2992,38809,2020-03-11 22:00:00,14.43
17,18,29264,1699,22600,2020-02-25 22:00:00,10.19
18,19,12218,596,2655,2020-03-04 22:00:00,17.56
19,20,2938,54,2652,2020-01-22 12:00:00,69.87
20,21,19621,2355,1005,2020-01-31 19:00:00,15.57
21,22,47334,7331,10943,2020-02-04 22:00:00,24.22
22,23,4127,207,1162,2020-03-03 22:00:00,52.66
23,24,1532,44,255,2020-02-28 22:00:00,228.17
24,25,15357,569,12580,2020-02-25 22:00:00,4.27
25,26,11380,89,2181,2020-01-29 21:00:00,25.54
26,27,7660,206,32,2020-02-26 22:00:00,19.62
27,28,15728,210,7746,2020-02-21 22:00:00,21.91
28,29,19877,1159,9233,2020-02-29 22:00:00,15.91
29,30,7958,530,975,2020-01-23 12:00:00,115.96
30,31,14951,14,1128,2020-01-23 12:00:00,70.09
31,32,5851,100,4032,2020-01-23 12:00:00,74.61
32,33,4996,93,2073,2020-03-05 22:00:00,86.33
33,34,9049,434,6313,2020-02-27 22:00:00,17.12
34,35,5949,269,1268,2020-03-06 22:00:00,20.91
35,36,6462,155,139,2020-03-08 22:00:00,21.99
36,37,14365,207,7710,2020-03-03 22:00:00,20.32
37,38,14612,312,3233,2020-02-26 22:00:00,39.45
38,39,4740,199,2800,2020-01-29 21:00:00,2.91
39,40,270,0,222,2020-01-23 12:00:00,23.39
40,41,11616,663,3404,2020-02-26 22:00:00,24.27
41,42,24322,948,1389,2020-03-02 22:00:00,29.81
42,43,1928,90,1319,2020-02-23 22:00:00,22.66
43,44,31190,854,9179,2020-03-06 22:00:00,90.3
44,45,2566,138,577,2020-02-26 22:00:00,11.16
45,46,1474,19,1229,2020-02-28 22:00:00,10.98
46,47,11921,10,1134,2020-02-29 22:00:00,11.21
47,48,3027,25,774,2020-03-13 22:00:00,26.61
48,49,3649,437,1651,2020-02-25 22:00:00,27.82
49,50,2649,291,516,2020-03-04 22:00:00,6.1
50,51,9410,239,992,2020-03-03 22:00:00,9.02
51,52,3440,23,1176,2020-02-24 22:00:00,58.28
52,53,4252,165,778,2020-03-02 22:00:00,34.97
53,54,24258,871,1557,2020-03-01 22:00:00,38.7
54,55,374,14,124,2020-03-13 22:00:00,89.41
55,56,6416,286,1165,2020-03-01 22:00:00,23.83
56,57,619,7,134,2020-01-27 20:30:00,24.0
57,58,530,15,49,2020-03-14 22:00:00,66.66
58,59,1399,58,222,2020-03-08 22:00:00,14.56
59,60,6021,167,455,2020-03-10 22:00:00,24.46
60,61,12208,79,1993,2020-02-28 22:00:00,5.19
61,62,705,6,306,2020-03-06 22:00:00,13.81
62,63,2047,63,1232,2020-02-25 22:00:00,7.08
63,64,625,15,394,2020-03-14 22:00:00,26.73
64,65,1344,44,536,2020-02-28 22:00:00,11.59
65,66,1408,86,223,2020-03-05 22:00:00,15.28
66,67,717,24,145,2020-02-21 22:00:00,8.57
67,68,6630,125,870,2020-03-06 22:00:00,8.21
68,69,1717,22,1221,2020-02-28 22:00:00,19.02
69,70,449,8,348,2020-03-03 22:00:00,22.75
70,71,975,40,279,2020-03-04 22:00:00,32.53
71,72,836,13,267,2020-03-02 22:00:00,12.99
72,73,1660,50,240,2020-02-27 22:00:00,10.18
73,74,54,0,16,2020-01-25 22:00:00,47.23
74,75,837,15,148,2020-03-09 22:00:00,8.19
75,76,1795,10,1636,2020-02-28 22:00:00,11.9
76,77,511,6,168,2020-02-26 22:00:00,10.24
77,78,750,30,431,2020-03-09 22:00:00,11.29
78,79,458,4,303,2020-03-07 22:00:00,19.76
